id_grupo_pesquisa,codigo,base_pesquisa,home_page,id_coordenador,coordenador,area_conhecimento_cnpq,situacao
94747491,GEG322-13,"Modelagem, Identificação e Controle de Sistemas Agrários",Sem home page,25090,JOSENALDE BARBOSA DE OLIVEIRA,Engenharia Elétrica,EM CONSOLIDACÃO
126820819,GEB515-19,Modelagem Matemática e Computacional em Meios Porosos,Sem home page,5753716,SIDARTA ARAUJO DE LIMA,Análise Numérica,EM CONSOLIDACÃO
150,GCG148-03,"MODELAGEM, SIMULAÇÃO E ANÁLISE EM ENGENHARIA QUÍMICA E DE PETRÓLEO- (GRADIVA)",Sem home page,23918,VANJA MARIA DE FRANCA BEZERRA,Engenharias,CONSOLIDADO
14527080,GEC220-09,"Modos de Subjetivação, Políticas Públicas e Contextos de Vulnerabilidades",Sem home page,5753245,JADER FERREIRA LEITE,Psicologia,CONSOLIDADO
110,GCG112-01,MORFOLOGIA E USOS DA ARQUITETURA - MUsA,Sem home page,21355,EDJA BEZERRA FARIA TRIGUEIRO,Arquitetura e Urbanismo,CONSOLIDADO
104,GCD106-01,MOVIMENTO E SAÚDE,Sem home page,21734,RICARDO OLIVEIRA GUERRA,Fisioterapia e Terapia Ocupacional,CONSOLIDADO
18077321,GEC226-09,"MYTHOS-LOGOS: Religião, Mito e Espiritualidade",Sem home page,22940,ANA LAUDELINA FERREIRA GOMES,Sociologia,CONSOLIDADO
4821574,GEG245-10,NAGI - Núcleo Aplicado à Gestão & Inovação,Sem home page,5752667,JAMERSON VIEGAS QUEIROZ,Engenharia de Produção,CONSOLIDADO
89008515,GEB276-11,Nanoestruturas magnéticas e semicondutoras,Sem home page,26026,CARLOS CHESMAN DE ARAUJO FEITOSA,Ciências Exatas e da Terra,CONSOLIDADO
116,GCC118-01,NAVIS NÚCLEO DE ANTROPOLOGIA VISUAL,Sem home page,22944,LISABETE CORADINI,Ciências Humanas,CONSOLIDADO
104400402,GEJ354-14,Negócios Tecnológicos,Sem home page,5753011,EFRAIN PANTALEON MATAMOROS,Tecnologia e Inovação,EM CONSOLIDACÃO
131219657,GEG526-19,"NESCAF - NÚCLEO DE ESTUDOS EM SAÚDE DA CRIANÇA, ADOLESCENTE E FAMÍLIA",Sem home page,130617,PAULA FERNANDA BRANDAO BATISTA DOS SANTOS,Enfermagem Pediátrica,EM CONSOLIDACÃO
3020663,GEA243-10,Neuroanatomia Funcional e Evolutiva,Sem home page,5751841,EXPEDITO SILVA DO NASCIMENTO JUNIOR,Morfologia,CONSOLIDADO
87402437,GEC271-11,Neurociências Cognitiva e Comportamental,Sem home page,5751852,ANTONIO PEREIRA JUNIOR,Ciências Humanas,CONSOLIDADO
124886033,GEG514-19,Neuroengenharia e Engenharia de Reabilitação.,Sem home page,5753350,GEORGE CARLOS DO NASCIMENTO,Engenharia Biomédica,EM CONSOLIDACÃO
122903236,GED438-17,"NEUROex: Grupo de Estudos e Pesquisa em Atividade Física, Cognição e Comportamento",Sem home page,5757543,EDUARDO BODNARIUC FONTES,Educação Física,EM CONSOLIDACÃO
113236795,GEA384-15,Neurofisiologia Computacional,Sem home page,5752802,ADRIANO BRETANHA LOPES TORT,Fisiologia,EM CONSOLIDACÃO
103806713,GEA446-17,Neuropsicofarmacologia,Sem home page,5751875,ELAINE CRISTINA GAVIOLI,Farmacologia,EM CONSOLIDACÃO
